code,description,message,cause,troubleshooting,component,equipment
12244,알람 설명 59,알람 예시 59,알람 원인 59,알람 해제 방법 및 트러블 슈팅 59,2X TEC/냉각 호스,메인 장비
12253,알람 설명 60,알람 예시 60,알람 원인 60,알람 해제 방법 및 트러블 슈팅 60,PILZ 세이프티 모듈,메인 장비
12307,알람 설명 61,알람 예시 61,알람 원인 61,알람 해제 방법 및 트러블 슈팅 61,냉각 호스/물 탱크,냉각기
12308,알람 설명 62,알람 예시 62,알람 원인 62,알람 해제 방법 및 트러블 슈팅 62,컴프레서/공급 전원,냉각기
12309,알람 설명 63,알람 예시 63,알람 원인 63,알람 해제 방법 및 트러블 슈팅 63,공업용수/냉각 호스,Customer
12309,알람 설명 64,알람 예시 64,알람 원인 64,알람 해제 방법 및 트러블 슈팅 64,레귤레이터,냉각기
12310,알람 설명 65,알람 예시 65,알람 원인 65,알람 해제 방법 및 트러블 슈팅 65,냉각 호스/공업용수,Customer
12310,알람 설명 66,알람 예시 66,알람 원인 66,알람 해제 방법 및 트러블 슈팅 66,냉매,냉각기
12312,알람 설명 67,알람 예시 67,알람 원인 67,알람 해제 방법 및 트러블 슈팅 67,냉각 호스/공업용수,Customer
12312,알람 설명 68,알람 예시 68,알람 원인 68,알람 해제 방법 및 트러블 슈팅 68,냉매,냉각기
12313,알람 설명 69,알람 예시 69,알람 원인 69,알람 해제 방법 및 트러블 슈팅 69,공업용수/냉각 호스,Customer
13001,알람 설명 70,알람 예시 70,알람 원인 70,알람 해제 방법 및 트러블 슈팅 70,프로그램 파라미터 설정,Robot
13002,알람 설명 71,알람 예시 71,알람 원인 71,알람 해제 방법 및 트러블 슈팅 71,프로그램 파라미터,메인 장비
13004,알람 설명 72,알람 예시 72,알람 원인 72,알람 해제 방법 및 트러블 슈팅 72,에어 시스템,Customer
13004,알람 설명 73,알람 예시 73,알람 원인 73,알람 해제 방법 및 트러블 슈팅 73,에어 시스템/에어 차단 밸브,메인 장비
13005,알람 설명 74,알람 예시 74,알람 원인 74,알람 해제 방법 및 트러블 슈팅 74,세이프티,메인 장비
13006,알람 설명 75,알람 예시 75,알람 원인 75,알람 해제 방법 및 트러블 슈팅 75,세이프티,메인 장비
13007,알람 설명 76,알람 예시 76,알람 원인 76,알람 해제 방법 및 트러블 슈팅 76,Z-drive/통신 케이블(1XG1 1XG2),가압부
13007,알람 설명 77,알람 예시 77,알람 원인 77,알람 해제 방법 및 트러블 슈팅 77,통신 케이블(1XG1 1XG2),메인 장비
13008,알람 설명 78,알람 예시 78,알람 원인 78,알람 해제 방법 및 트러블 슈팅 78,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
13009,알람 설명 79,알람 예시 79,알람 원인 79,알람 해제 방법 및 트러블 슈팅 79,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
13010,알람 설명 80,알람 예시 80,알람 원인 80,알람 해제 방법 및 트러블 슈팅 80,Wobble drive,가압부
13011,알람 설명 81,알람 예시 81,알람 원인 81,알람 해제 방법 및 트러블 슈팅 81,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
13012,알람 설명 82,알람 예시 82,알람 원인 82,알람 해제 방법 및 트러블 슈팅 82,세이프티,메인 장비
13012,알람 설명 83,알람 예시 83,알람 원인 83,알람 해제 방법 및 트러블 슈팅 83,제어 파라미터,Robot
13013,알람 설명 84,알람 예시 84,알람 원인 84,알람 해제 방법 및 트러블 슈팅 84,메인 장비,메인 장비
13015,알람 설명 85,알람 예시 85,알람 원인 85,알람 해제 방법 및 트러블 슈팅 85,세이프티,메인 장비
13016,알람 설명 86,알람 예시 86,알람 원인 86,알람 해제 방법 및 트러블 슈팅 86,Z-drive/통신 케이블(1xg1 1XG2),가압부
13016,알람 설명 87,알람 예시 87,알람 원인 87,알람 해제 방법 및 트러블 슈팅 87,통신 케이블(1XG1 1XG2),메인 장비
13017,알람 설명 88,알람 예시 88,알람 원인 88,알람 해제 방법 및 트러블 슈팅 88,파워 서플라이/MCU,메인 장비
13018,알람 설명 89,알람 예시 89,알람 원인 89,알람 해제 방법 및 트러블 슈팅 89,Seam drive/타이밍 벨트/Encoder,가압부
13020,알람 설명 90,알람 예시 90,알람 원인 90,알람 해제 방법 및 트러블 슈팅 90,통신 케이블(XP3),메인 장비
13024,알람 설명 91,알람 예시 91,알람 원인 91,알람 해제 방법 및 트러블 슈팅 91,보호 유리,가압부
13025,알람 설명 92,알람 예시 92,알람 원인 92,알람 해제 방법 및 트러블 슈팅 92,프레셔 피스,가압부
13025,알람 설명 93,알람 예시 93,알람 원인 93,알람 해제 방법 및 트러블 슈팅 93,위치 티칭,Robot
13026,알람 설명 94,알람 예시 94,알람 원인 94,알람 해제 방법 및 트러블 슈팅 94,프레셔 피스,가압부
13026,알람 설명 95,알람 예시 95,알람 원인 95,알람 해제 방법 및 트러블 슈팅 95,위치 티칭,Robot
13027,알람 설명 96,알람 예시 96,알람 원인 96,알람 해제 방법 및 트러블 슈팅 96,포스 센서,가압부
13027,알람 설명 97,알람 예시 97,알람 원인 97,알람 해제 방법 및 트러블 슈팅 97,프로그램 파라미터,메인 장비
13028,알람 설명 98,알람 예시 98,알람 원인 98,알람 해제 방법 및 트러블 슈팅 98,위치 티칭,Robot
13028,알람 설명 99,알람 예시 99,알람 원인 99,알람 해제 방법 및 트러블 슈팅 99,포스 센서,가압부
13029,알람 설명 100,알람 예시 100,알람 원인 100,알람 해제 방법 및 트러블 슈팅 100,프레셔 피스,가압부
13029,알람 설명 101,알람 예시 101,알람 원인 101,알람 해제 방법 및 트러블 슈팅 101,스패터/방청유,Customer
13030,알람 설명 102,알람 예시 102,알람 원인 102,알람 해제 방법 및 트러블 슈팅 102,레이저 모듈,메인 장비
13031,알람 설명 103,알람 예시 103,알람 원인 103,알람 해제 방법 및 트러블 슈팅 103,Wobble drive,가압부
13032,알람 설명 104,알람 예시 104,알람 원인 104,알람 해제 방법 및 트러블 슈팅 104,Seam drive/타이밍 벨트/Encoder,가압부
13034,알람 설명 105,알람 예시 105,알람 원인 105,알람 해제 방법 및 트러블 슈팅 105,파라미터 설정,Robot
13035,알람 설명 106,알람 예시 106,알람 원인 106,알람 해제 방법 및 트러블 슈팅 106,Seam drive,가압부
13036,알람 설명 107,알람 예시 107,알람 원인 107,알람 해제 방법 및 트러블 슈팅 107,메인 장비,메인 장비
13037,알람 설명 108,알람 예시 108,알람 원인 108,알람 해제 방법 및 트러블 슈팅 108,Wobble drive,가압부
13038,알람 설명 109,알람 예시 109,알람 원인 109,알람 해제 방법 및 트러블 슈팅 109,냉각 호스/펌프,냉각기
13039,알람 설명 110,알람 예시 110,알람 원인 110,알람 해제 방법 및 트러블 슈팅 110,보호 가스,Customer
13040,알람 설명 111,알람 예시 111,알람 원인 111,알람 해제 방법 및 트러블 슈팅 111,보호 가스,Customer
13043,알람 설명 112,알람 예시 112,알람 원인 112,알람 해제 방법 및 트러블 슈팅 112,메인 장비,메인 장비
13045,알람 설명 113,알람 예시 113,알람 원인 113,알람 해제 방법 및 트러블 슈팅 113,보호 가스,Customer
13046,알람 설명 114,알람 예시 114,알람 원인 114,알람 해제 방법 및 트러블 슈팅 114,메인 장비,메인 장비
11008,알람 설명 115,알람 예시 115,알람 원인 115,알람 해제 방법 및 트러블 슈팅 115,프레셔 피스,가압부
11009,알람 설명 116,알람 예시 116,알람 원인 116,알람 해제 방법 및 트러블 슈팅 116,공정 모니터링,메인 장비
11010,알람 설명 117,알람 예시 117,알람 원인 117,알람 해제 방법 및 트러블 슈팅 117,비상 정지,Customer
11011,알람 설명 118,알람 예시 118,알람 원인 118,알람 해제 방법 및 트러블 슈팅 118,공정 제어,메인 장비
11013,알람 설명 119,알람 예시 119,알람 원인 119,알람 해제 방법 및 트러블 슈팅 119,프레셔 피스,가압부
11014,알람 설명 120,알람 예시 120,알람 원인 120,알람 해제 방법 및 트러블 슈팅 120,프레셔 피스,가압부
11015,알람 설명 121,알람 예시 121,알람 원인 121,알람 해제 방법 및 트러블 슈팅 121,프레셔 피스,가압부
11016,알람 설명 122,알람 예시 122,알람 원인 122,알람 해제 방법 및 트러블 슈팅 122,프레셔 피스,가압부
11017,알람 설명 123,알람 예시 123,알람 원인 123,알람 해제 방법 및 트러블 슈팅 123,필터,집진기
11018,알람 설명 124,알람 예시 124,알람 원인 124,알람 해제 방법 및 트러블 슈팅 124,집진통,집진기
11201,알람 설명 125,알람 예시 125,알람 원인 125,알람 해제 방법 및 트러블 슈팅 125,레이저 모듈,메인 장비
11203,알람 설명 126,알람 예시 126,알람 원인 126,알람 해제 방법 및 트러블 슈팅 126,냉각기,냉각기
11221,알람 설명 127,알람 예시 127,알람 원인 127,알람 해제 방법 및 트러블 슈팅 127,냉각수,냉각기
11225,알람 설명 128,알람 예시 128,알람 원인 128,알람 해제 방법 및 트러블 슈팅 128,MCU,메인 장비
11229,알람 설명 129,알람 예시 129,알람 원인 129,알람 해제 방법 및 트러블 슈팅 129,냉각 호스,메인 장비
11229,알람 설명 130,알람 예시 130,알람 원인 130,알람 해제 방법 및 트러블 슈팅 130,냉각 호스,가압부
11229,알람 설명 131,알람 예시 131,알람 원인 131,알람 해제 방법 및 트러블 슈팅 131,냉각 호스/펌프,냉각기
11333,알람 설명 132,알람 예시 132,알람 원인 132,알람 해제 방법 및 트러블 슈팅 132,물 탱크/냉각 호스,냉각기
11345,알람 설명 133,알람 예시 133,알람 원인 133,알람 해제 방법 및 트러블 슈팅 133,냉각 호스/공업용수,Customer
11345,알람 설명 134,알람 예시 134,알람 원인 134,알람 해제 방법 및 트러블 슈팅 134,냉매/팽창 밸브,냉각기
11346,알람 설명 135,알람 예시 135,알람 원인 135,알람 해제 방법 및 트러블 슈팅 135,냉각 호스/냉각수 밸브,냉각기
11346,알람 설명 136,알람 예시 136,알람 원인 136,알람 해제 방법 및 트러블 슈팅 136,스트레이너/냉각수 밸브,메인 장비
11347,알람 설명 137,알람 예시 137,알람 원인 137,알람 해제 방법 및 트러블 슈팅 137,냉각 호스/냉각수 밸브,냉각기
11347,알람 설명 138,알람 예시 138,알람 원인 138,알람 해제 방법 및 트러블 슈팅 138,스트레이너/냉각수 밸브,메인 장비
11348,알람 설명 139,알람 예시 139,알람 원인 139,알람 해제 방법 및 트러블 슈팅 139,냉각 호스/냉각수 밸브/히터,냉각기
11348,알람 설명 140,알람 예시 140,알람 원인 140,알람 해제 방법 및 트러블 슈팅 140,스트레이너/냉각수 밸브,메인 장비
11349,알람 설명 141,알람 예시 141,알람 원인 141,알람 해제 방법 및 트러블 슈팅 141,냉각 호스/냉각수 밸브/히터,냉각기
11349,알람 설명 142,알람 예시 142,알람 원인 142,알람 해제 방법 및 트러블 슈팅 142,스트레이너/냉각수 밸브,메인 장비
11350,알람 설명 143,알람 예시 143,알람 원인 143,알람 해제 방법 및 트러블 슈팅 143,냉각 호스/냉각수 밸브/히터,냉각기
11350,알람 설명 144,알람 예시 144,알람 원인 144,알람 해제 방법 및 트러블 슈팅 144,스트레이너/냉각수 밸브,메인 장비
11351,알람 설명 145,알람 예시 145,알람 원인 145,알람 해제 방법 및 트러블 슈팅 145,냉각 호스/냉각수 밸브/히터,냉각기
11351,알람 설명 146,알람 예시 146,알람 원인 146,알람 해제 방법 및 트러블 슈팅 146,스트레이너/냉각수 밸브,메인 장비
11500,알람 설명 147,알람 예시 147,알람 원인 147,알람 해제 방법 및 트러블 슈팅 147,공정 파라미터,메인 장비
11501,알람 설명 148,알람 예시 148,알람 원인 148,알람 해제 방법 및 트러블 슈팅 148,공정 파라미터,메인 장비
11502,알람 설명 149,알람 예시 149,알람 원인 149,알람 해제 방법 및 트러블 슈팅 149,공정 파라미터,메인 장비
11503,알람 설명 150,알람 예시 150,알람 원인 150,알람 해제 방법 및 트러블 슈팅 150,보호 유리/프로세스 파이버/옵틱 헤드,가압부
11504,알람 설명 151,알람 예시 151,알람 원인 151,알람 해제 방법 및 트러블 슈팅 151,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
11504,알람 설명 152,알람 예시 152,알람 원인 152,알람 해제 방법 및 트러블 슈팅 152,공정 파라미터,메인 장비
11505,알람 설명 153,알람 예시 153,알람 원인 153,알람 해제 방법 및 트러블 슈팅 153,Wobble drive,가압부
11505,알람 설명 154,알람 예시 154,알람 원인 154,알람 해제 방법 및 트러블 슈팅 154,공정 파라미터,메인 장비
11506,알람 설명 155,알람 예시 155,알람 원인 155,알람 해제 방법 및 트러블 슈팅 155,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
11506,알람 설명 156,알람 예시 156,알람 원인 156,알람 해제 방법 및 트러블 슈팅 156,공정 파라미터,메인 장비
11507,알람 설명 157,알람 예시 157,알람 원인 157,알람 해제 방법 및 트러블 슈팅 157,석션 호스/석션 모터,집진기
11507,알람 설명 158,알람 예시 158,알람 원인 158,알람 해제 방법 및 트러블 슈팅 158,공정 파라미터,메인 장비
11601,알람 설명 159,알람 예시 159,알람 원인 159,알람 해제 방법 및 트러블 슈팅 159,공정 제어,메인 장비
11603,알람 설명 160,알람 예시 160,알람 원인 160,알람 해제 방법 및 트러블 슈팅 160,공정 제어,메인 장비
11607,알람 설명 161,알람 예시 161,알람 원인 161,알람 해제 방법 및 트러블 슈팅 161,공정 제어,메인 장비
11609,알람 설명 162,알람 예시 162,알람 원인 162,알람 해제 방법 및 트러블 슈팅 162,공정 제어,메인 장비
12006,알람 설명 163,알람 예시 163,알람 원인 163,알람 해제 방법 및 트러블 슈팅 163,에어 시스템,메인 장비
12006,알람 설명 164,알람 예시 164,알람 원인 164,알람 해제 방법 및 트러블 슈팅 164,에어 시스템,집진기
12007,알람 설명 165,알람 예시 165,알람 원인 165,알람 해제 방법 및 트러블 슈팅 165,통신 케이블(XP3),메인 장비
12007,알람 설명 166,알람 예시 166,알람 원인 166,알람 해제 방법 및 트러블 슈팅 166,공급 전원/집진기,집진기
12011,알람 설명 167,알람 예시 167,알람 원인 167,알람 해제 방법 및 트러블 슈팅 167,공급 전원/Cleaning Station,Cleaning Station
12015,알람 설명 168,알람 예시 168,알람 원인 168,알람 해제 방법 및 트러블 슈팅 168,모터 보호 스위치/공급 전원/에어 시스템/위치 감지 센서/드릴 비트,Cleaning Station
12019,알람 설명 169,알람 예시 169,알람 원인 169,알람 해제 방법 및 트러블 슈팅 169,공정 모니터링,메인 장비
12020,알람 설명 170,알람 예시 170,알람 원인 170,알람 해제 방법 및 트러블 슈팅 170,에어 시스템/공정 파라미터,메인 장비
12020,알람 설명 171,알람 예시 171,알람 원인 171,알람 해제 방법 및 트러블 슈팅 171,압축 공기 유량,Customer
12021,알람 설명 172,알람 예시 172,알람 원인 172,알람 해제 방법 및 트러블 슈팅 172,공정 제어,메인 장비
12223,알람 설명 173,알람 예시 173,알람 원인 173,알람 해제 방법 및 트러블 슈팅 173,물 탱크/냉각 호스/공급 전원/히터/냉각기,냉각기
12227,알람 설명 174,알람 예시 174,알람 원인 174,알람 해제 방법 및 트러블 슈팅 174,냉각수 밸브/설정 파라미터,냉각기
12250,알람 설명 175,알람 예시 175,알람 원인 175,알람 해제 방법 및 트러블 슈팅 175,옵틱 헤드/보호 유리/프로세스 파이버,가압부
12333,알람 설명 176,알람 예시 176,알람 원인 176,알람 해제 방법 및 트러블 슈팅 176,냉각 호스/물 탱크,냉각기
12336,알람 설명 177,알람 예시 177,알람 원인 177,알람 해제 방법 및 트러블 슈팅 177,냉각 호스/냉각수 밸브,냉각기
12336,알람 설명 178,알람 예시 178,알람 원인 178,알람 해제 방법 및 트러블 슈팅 178,냉각 호스/냉각수 밸브/스트레이너,메인 장비
12336,알람 설명 179,알람 예시 179,알람 원인 179,알람 해제 방법 및 트러블 슈팅 179,냉각 호스,가압부
12339,알람 설명 180,알람 예시 180,알람 원인 180,알람 해제 방법 및 트러블 슈팅 180,냉각 호스/냉각수 밸브,냉각기
12339,알람 설명 181,알람 예시 181,알람 원인 181,알람 해제 방법 및 트러블 슈팅 181,냉각 호스/냉각수 밸브/스트레이너,메인 장비
12339,알람 설명 182,알람 예시 182,알람 원인 182,알람 해제 방법 및 트러블 슈팅 182,냉각 호스,가압부
12400,알람 설명 183,알람 예시 183,알람 원인 183,알람 해제 방법 및 트러블 슈팅 183,비상 정지,메인 장비
12401,알람 설명 184,알람 예시 184,알람 원인 184,알람 해제 방법 및 트러블 슈팅 184,비상 정지,메인 장비
12402,알람 설명 185,알람 예시 185,알람 원인 185,알람 해제 방법 및 트러블 슈팅 185,프레셔 피스,가압부
12403,알람 설명 186,알람 예시 186,알람 원인 186,알람 해제 방법 및 트러블 슈팅 186,프레셔 피스,가압부
12404,알람 설명 187,알람 예시 187,알람 원인 187,알람 해제 방법 및 트러블 슈팅 187,Coupler/프로세스 파이버/피딩 파이버,메인 장비
12405,알람 설명 188,알람 예시 188,알람 원인 188,알람 해제 방법 및 트러블 슈팅 188,Coupler/프로세스 파이버/피딩 파이버,메인 장비
12406,알람 설명 189,알람 예시 189,알람 원인 189,알람 해제 방법 및 트러블 슈팅 189,Coupler/프로세스 파이버/피딩 파이버,메인 장비
12407,알람 설명 190,알람 예시 190,알람 원인 190,알람 해제 방법 및 트러블 슈팅 190,커버 센서/프레셔 피스,가압부
12408,알람 설명 191,알람 예시 191,알람 원인 191,알람 해제 방법 및 트러블 슈팅 191,파워 서플라이,메인 장비
12409,알람 설명 192,알람 예시 192,알람 원인 192,알람 해제 방법 및 트러블 슈팅 192,통신 케이블(1xg1 1XG2)/Z-drive 컨트롤러,메인 장비
12409,알람 설명 193,알람 예시 193,알람 원인 193,알람 해제 방법 및 트러블 슈팅 193,Z-drive,가압부
12410,알람 설명 194,알람 예시 194,알람 원인 194,알람 해제 방법 및 트러블 슈팅 194,PILZ 세이프티 모듈,메인 장비
12410,알람 설명 195,알람 예시 195,알람 원인 195,알람 해제 방법 및 트러블 슈팅 195,PILZ 세이프티 모듈/프레셔 피스,가압부
12428,알람 설명 196,알람 예시 196,알람 원인 196,알람 해제 방법 및 트러블 슈팅 196,PILZ 세이프티 모듈,메인 장비
12428,알람 설명 197,알람 예시 197,알람 원인 197,알람 해제 방법 및 트러블 슈팅 197,PILZ 세이프티 모듈/프레셔 피스,가압부
12429,알람 설명 198,알람 예시 198,알람 원인 198,알람 해제 방법 및 트러블 슈팅 198,PILZ 세이프티 모듈,메인 장비
12429,알람 설명 199,알람 예시 199,알람 원인 199,알람 해제 방법 및 트러블 슈팅 199,PILZ 세이프티 모듈/프레셔 피스,가압부
12430,알람 설명 200,알람 예시 200,알람 원인 200,알람 해제 방법 및 트러블 슈팅 200,PILZ 세이프티 모듈/통신 케이블(1XLZ1),메인 장비
12430,알람 설명 201,알람 예시 201,알람 원인 201,알람 해제 방법 및 트러블 슈팅 201,PILZ 세이프티 모듈/프레셔 피스,가압부
12500,알람 설명 202,알람 예시 202,알람 원인 202,알람 해제 방법 및 트러블 슈팅 202,공정 모니터링,메인 장비
12501,알람 설명 203,알람 예시 203,알람 원인 203,알람 해제 방법 및 트러블 슈팅 203,공정 모니터링,메인 장비
12502,알람 설명 204,알람 예시 204,알람 원인 204,알람 해제 방법 및 트러블 슈팅 204,공정 모니터링,메인 장비
12503,알람 설명 205,알람 예시 205,알람 원인 205,알람 해제 방법 및 트러블 슈팅 205,보호 유리/프로세스 파이버/옵틱 헤드,가압부
12504,알람 설명 206,알람 예시 206,알람 원인 206,알람 해제 방법 및 트러블 슈팅 206,공정 모니터링,메인 장비
12505,알람 설명 207,알람 예시 207,알람 원인 207,알람 해제 방법 및 트러블 슈팅 207,공정 모니터링,메인 장비
12506,알람 설명 208,알람 예시 208,알람 원인 208,알람 해제 방법 및 트러블 슈팅 208,공정 모니터링,메인 장비
12507,알람 설명 209,알람 예시 209,알람 원인 209,알람 해제 방법 및 트러블 슈팅 209,공정 모니터링,메인 장비
12601,알람 설명 210,알람 예시 210,알람 원인 210,알람 해제 방법 및 트러블 슈팅 210,공정 제어,메인 장비
12603,알람 설명 211,알람 예시 211,알람 원인 211,알람 해제 방법 및 트러블 슈팅 211,공정 제어,메인 장비
